query_id,expanded_reads,unique_sectors,baseline_sector_rereads,bonus_exposures,unique_bonus_nodes,bonus_in_gt100,bonus_visited_later,bonus_in_final_topk,bonus_gt100_fraction,bonus_later_fraction,bonus_final_fraction,estimated_avoidable_reads,estimated_io_savings_fraction
378,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
379,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
380,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
381,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
382,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
383,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
384,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
385,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
386,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
387,109,108,1,435,432,0,1,0,0.0,0.0023148148148148147,0.0,1,0.009174311926605505
388,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
389,109,107,2,434,428,2,2,0,0.004672897196261682,0.004672897196261682,0.0,2,0.01834862385321101
390,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
391,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
392,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
393,111,109,2,442,436,2,2,0,0.0045871559633027525,0.0045871559633027525,0.0,2,0.018018018018018018
394,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
395,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
396,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
397,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
398,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
399,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
400,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
401,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
402,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
403,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
404,107,106,1,427,424,0,1,0,0.0,0.0023584905660377358,0.0,1,0.009345794392523364
405,106,105,1,423,420,0,1,0,0.0,0.002380952380952381,0.0,1,0.009433962264150943
406,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
407,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
408,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
409,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
410,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
411,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
412,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
413,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
414,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
415,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
416,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
417,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
418,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
419,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
420,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
421,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
422,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
423,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
424,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
425,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
426,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
427,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
428,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
429,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
430,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
431,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
432,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
433,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
434,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
435,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
436,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
437,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
438,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
439,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
440,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
441,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
442,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
443,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
444,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
445,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
446,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
447,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
448,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
449,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
450,107,106,1,427,424,0,1,0,0.0,0.0023584905660377358,0.0,1,0.009345794392523364
451,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
452,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
453,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
